井号,渗透性类型,岩性,井型,造斜点深度(m),生产时间(h),日产液(t),日产油(t),日产水(t),日产气(m3),含水率(%),油压(Mpa),套压(Mpa),动液面(m),泵径(mm),泵深(m),冲程(m),冲次(n/min),泵效(%),抽油机机型,额定载荷(kN),悬点载荷最大值(kN),悬点载荷最小值(kN),电机型号,电机额定功率(kW),平衡度,日耗电量(kW·h),输入功率(kW),地面效率(%),井下效率(%),系统效率(%),泵况分析结果,沉没度(m),抽油机负载率(%),电机功率利用率(%),百米吨液耗电(kW.h),K1,K2,节能限定值,节能评价值,对标结果
Test_112,特低渗透,砂岩,定向井,475,24,16.74,11.47,5.27,0,31.4814814815,0.5,0,566.9,38,1603.01,4,3,92.23,CYJS12-5-73HB,120,61.7,32.1,YCCH280-8,30,0.66,181.3,7.55,74.44,19.37,14.42,工作正常,1036.11,51.42,25.17,1.91,1.6,1.05,10.71,17.26,达标
Test_113,特低渗透,砂岩,定向井,450,24,13.72,6.05,7.67,0,55.9037900875,0.5,0,920,38,1543.45,4,4,55.95,CYJS12-5-73HB,120,57.1,26.1,YCCH280-8,30,0.88,188.04,7.84,77.75,23.59,18.34,工作正常,623.45,47.58,26.13,1.49,1.6,1.05,10.71,17.26,优良
Test_114,特低渗透,砂岩,直井,,24,15.2,5.88,9.32,0,61.3157894737,0.5,0,1203,38,1549.28,4,3,84.19,CYJS12-5-73HB,120,64.3,30.4,YCCH280-8,30,0.76,143.87,5.99,63.87,54,34.49,工作正常,346.28,53.58,19.97,0.79,1.6,1.05,10.71,17.26,优良
Test_115,特低渗透,砂岩,定向井,525,24,2.17,0.43,1.74,0,80.1843317972,0.5,0,1205,38,1606.58,3,4,11.79,CYJS12-5-73HB,120,61.1,31.1,YCCH280-8,30,0.79,104.92,4.37,62.6,11.04,6.91,工作正常,401.58,50.92,14.57,4.01,1.6,1.05,10.71,17.26,不达标
Test_116,特低渗透,砂岩,直井,,24,29.9,9.49,20.41,0,68.2608695652,0.5,0,709,44,1200.84,5,4,73.48,CYJS12-5-73HB,120,63.3,32,YCY280M2-8,55,1.03,259.1,10.8,71.65,32.15,23.03,工作正常,491.84,52.75,19.64,1.22,1.6,1,11.25,18.13,优良
Test_117,特低渗透,砂岩,直井,,24,8.38,1.97,6.41,0,76.491646778,0.5,0,1488,38,1495.48,5,4,27.92,CYJS12-5-73HB,120,95,46.4,YCCH280-8,30,0.97,307.89,12.83,70.17,15.89,11.15,供液不足,7.48,79.17,42.77,2.47,1.6,1,11.25,18.13,不达标
Test_118,特低渗透,砂岩,定向井,525,24,8.38,7.27,1.11,0,13.245823389,0.45,0,1535,44,1545.9,5,3.5,30.47,CYJS12-5-73HB,120,80.5,49,YCCH250-8,30,0.88,148.95,6.21,71.81,30.55,21.94,供液不足,10.9,67.08,20.7,1.16,1.6,1.05,10.71,17.26,优良
Test_119,特低渗透,砂岩,直井,,24,52.08,2.26,49.82,0,95.6605222734,0.5,0,590,70,755.06,4,3.5,74.36,CYJS12-5-73HB,120,60.2,24.4,YCCH280-8,30,2.51,170.32,7.1,72.68,73.09,53.12,工作正常,165.06,50.17,23.67,0.55,1.6,1,11.25,18.13,优良
Test_120,特低渗透,砂岩,直井,,24,25,3.46,21.54,0,86.16,0.6,0,685,38,1504.62,5,4,81.31,CYJS12-5-73HB,120,60.2,36.6,YCCH280-8,30,2.53,197.69,8.24,58.55,43.2,25.29,工作正常,819.62,50.17,27.47,1.15,1.6,1.05,10.71,17.26,优良
Test_121,特低渗透,砂岩,直井,,24,6.17,3.59,2.58,0,41.8152350081,0.4,0,1524,38,1556.64,5,3,28.17,YCYJ12-5-73HB,120,83.9,40.1,YCCH280-8,30,1.27,144.4,6.02,71.75,23.71,17.01,供液不足,32.64,69.92,20.07,1.54,1.6,1.05,10.71,17.26,达标
