井号,渗透性类型,岩性,井型,造斜点深度(m),生产时间(h),日产液(t),日产油(t),日产水(t),日产气(m3),含水率(%),油压(Mpa),套压(Mpa),动液面(m),泵径(mm),泵深(m),冲程(m),冲次(n/min),泵效(%),抽油机机型,额定载荷(kN),悬点载荷最大值(kN),悬点载荷最小值(kN),电机型号,电机额定功率(kW),平衡度,日耗电量(kW·h),输入功率(kW),地面效率(%),井下效率(%),系统效率(%),泵况分析结果,沉没度(m),抽油机负载率(%),电机功率利用率(%),百米吨液耗电(kW.h),K1,K2,节能限定值,节能评价值,对标结果
Test_251,低渗透,砂岩,直井,,24,10,1.11,8.89,0,88.9,0.5,0,2015.86,38,2106.93,5,3,23.98,YCYJ12-5-73HB,120,85.8,46.9,CYQT250M2-8,30,0.82,181.07,7.54,65.64,26.45,17.36,游动凡尔漏失泵下碰,91.07,71.5,25.13,0.9,1.4,1.05,12.24,19.73,达标
Test_252,低渗透,砂岩,直井,,24,9.4,4.83,4.57,0,48.6170212766,0.5,0,1887.68,38,1997.68,5,4,30.21,YCYJ12-5-73HB,120,96.4,49.9,YCCH280-8,45,0.85,280.52,11.69,67.8,24.57,16.66,游动凡尔漏失,110,80.33,25.98,1.58,1.4,1.05,12.24,19.73,达标
Test_253,低渗透,砂岩,直井,,24,35,0.61,34.39,0,98.2571428571,0.5,0,1330.26,38,2294.87,5,4,11.98,CYJS12-5-73HB,120,81.8,44.7,YCCH280-8,30,0.74,160.34,6.68,68.83,58.53,40.28,凡尔失灵或杆在泵口断脱,964.61,68.17,22.27,0.34,1.4,1.05,12.24,19.73,优良
Test_254,低渗透,砂岩,定向井,375,24,8.5,1.35,7.15,0,84.1176470588,0.5,0,1869.48,32,1999.48,4,4,49.67,YCYJ12-5-73HB,120,74.9,39.6,YCCH280-8,30,2.53,157.79,6.57,79.51,34.43,27.38,供液不足游动凡尔漏失,130,62.42,21.9,0.99,1.4,1.05,12.24,19.73,优良
Test_255,低渗透,砂岩,定向井,550,24,6.6,1.41,5.19,0,78.6363636364,0.5,0,1882.71,38,1994.16,5,4,33.17,YCYJ12-5-73HB,120,83.5,34,CYQT250M2-8,30,0.63,119.52,4.98,65.45,60.1,39.33,供液不足游动凡尔漏失,111.45,69.58,16.6,0.96,1.4,1.05,12.24,19.73,优良
Test_256,低渗透,砂岩,定向井,400,24,11,7.47,3.53,0,32.0909090909,0.5,0,2192.7,38,2202.7,5,4,36.65,YCYJ12-5-73HB,120,99.2,25.7,YCCH280-8,30,0.93,275.32,11.47,65.27,34.09,22.25,供液不足,10,82.67,38.23,1.14,1.4,1.05,12.24,19.73,优良
Test_257,低渗透,砂岩,定向井,500,24,5.8,3.14,2.66,0,45.8620689655,0.5,0,1928.35,38,2298.94,3,4,33.84,YCYJ12-5-73HB,120,91.1,44.2,CYQT250M2-8,30,0.77,134.36,5.6,69.33,32.1,22.25,泵工作基本正常,370.59,75.92,18.67,1.2,1.4,1.05,12.24,19.73,优良
Test_258,低渗透,砂岩,定向井,475,24,3,1.23,1.77,0,59,0.5,0,2205.06,32,2300.32,5,4,26.14,YCYJ12-5-73HB,120,93.8,53,CYQT250M2-8,30,0.66,168.86,7.04,67.26,42.07,28.3,游动凡尔漏失,95.26,78.17,23.47,2.55,1.4,1.05,12.24,19.73,优良
Test_259,低渗透,砂岩,定向井,525,24,13,6.49,6.51,0,50.0769230769,0.5,0,635.11,38,2304.96,4,4,46.04,YCYJ12-5-73HB,120,78.3,50.4,YCCH280-8,30,1.09,166.01,6.92,62.42,32.82,20.49,游动凡尔漏失,1669.85,65.25,23.07,2.01,1.4,1.05,12.24,19.73,优良
Test_260,低渗透,砂岩,定向井,725,24,5.7,4.09,1.61,0,28.2456140351,0.5,0,2191.3,38,2301.09,5,3.5,23.49,YCYJ12-5-73HB,120,89,55.5,YCCH280-8,45,0.59,240.55,10.02,33.36,41.11,13.71,游动凡尔漏失泵下碰,109.79,74.17,22.27,1.93,1.4,1.05,12.24,19.73,达标
Test_261,低渗透,砂岩,定向井,650,24,5.8,3.17,2.63,0,45.3448275862,0.5,0,2199.37,32,2300.37,4,4,33.77,YCYJ12-5-73HB,120,93.8,42.8,YCCH280-8,30,1.53,192.66,8.03,76.63,22.18,17,定凡尔漏失游动凡尔漏失,101,78.17,26.77,1.51,1.4,1.05,12.24,19.73,达标
Test_262,低渗透,砂岩,定向井,450,24,2.5,0.07,2.43,0,97.2,0.5,0,615.02,32,2296.84,5,3,14.77,YCYJ12-5-73HB,120,74.4,46.5,YCCH280-8,30,1.24,181.4,7.56,64.2,3.76,2.41,泵工作基本正常,1681.82,62,25.2,11.8,1.4,1.05,12.24,19.73,不达标
Test_263,低渗透,砂岩,直井,,24,1.3,0.64,0.66,0,50.7692307692,0.5,0,1097.57,32,2300.89,4,4,13.31,YCYJ12-5-73HB,120,69.4,48.8,YCYH250M-8,30,2.67,80.86,3.37,74.47,17.08,12.72,游动凡尔漏失,1203.32,57.83,11.23,5.67,1.4,1.05,12.24,19.73,达标
Test_264,低渗透,砂岩,直井,,24,15,5.54,9.46,0,63.0666666667,0.5,0,2133.22,32,2295.15,5,4,46.42,YCYJ12-5-73HB,120,101.4,59.7,YCCH280-8,30,0.65,398.9,16.62,67.64,31.74,21.47,游动凡尔漏失,161.93,84.5,55.4,1.25,1.4,1.05,12.24,19.73,优良
Test_265,低渗透,砂岩,直井,,24,1.5,1.07,0.43,0,28.6666666667,0.5,0,1180.02,38,2254.14,3.8,3,60.69,CYJ14-4.8-73HB,140,79.1,47.2,YCYH250M-8,30,0.79,90.55,3.77,71.84,66.63,47.87,固定凡尔漏失游动凡尔漏失,1074.12,56.5,12.57,5.12,1.4,1.05,12.24,19.73,优良
Test_266,低渗透,砂岩,直井,,24,21,0,21,0,100,0.5,0,632.5,38,2320.05,4,4,4.48,YCYJ12-5-73HB,120,75.1,47.6,YCY280S-8,37,1.35,160.53,6.69,57.45,7.52,4.32,游动凡尔漏失,1687.55,62.58,18.08,1.21,1.4,1.05,12.24,19.73,不达标
Test_267,低渗透,砂岩,定向井,1450,24,21,2.33,18.67,0,88.9047619048,0.2,0,1127.05,44,1599.62,5,3.5,59.99,CYJS12-5-73HB,120,67.9,27.8,YCCH280-8,30,1.2,322.32,13.43,54.14,37.43,20.26,泵工作基本正常,472.57,56.58,44.77,1.36,1.4,1.05,12.24,19.73,优良
Test_268,低渗透,砂岩,定向井,1500,24,7.7,0.34,7.36,0,95.5844155844,0.2,0,1878,38,1887.75,3,4,41.17,CYJS12-5-73HB,120,71.4,42.9,YCCH280-8,30,2.25,162.12,6.75,59.9,41.19,24.67,泵下碰,9.75,59.5,22.5,1.12,1.4,1.05,12.24,19.73,优良
Test_269,低渗透,砂岩,水平井,,24,63,5.55,57.45,0,91.1904761905,0.2,0,100,56,1199.65,5,4,87.24,CYJS12-5-73HB,120,46.1,34.8,YCCH280-8,30,0.85,111.71,4.65,46.25,39.57,18.3,游动凡尔漏失泵上挂,1099.65,38.42,15.5,1.77,1.4,1,12.86,20.71,达标
Test_270,低渗透,砂岩,水平井,,24,22,1.15,20.85,0,94.7727272727,0.2,0,1398.32,44,1404.8,4,3,92.22,CYJS12-5-73HB,120,66.1,27.8,YCCH280-8,30,1.09,149.4,6.23,65.49,86.85,56.88,泵工作基本正常,6.48,55.08,20.77,0.49,1.4,1,12.86,20.71,优良
Test_271,低渗透,砂岩,水平井,,24,38,4.02,33.98,0,89.4210526316,0.2,0,1000,44,1501.02,5,4,89.27,CYJS12-5-73HB,120,53.7,33.5,YCCH280-8,45,1.17,146.44,6.1,66.83,106.06,70.88,游动凡尔漏失,501.02,44.75,13.56,0.39,1.4,1.05,12.24,19.73,优良
Test_272,低渗透,砂岩,水平井,,24,33,3.3,29.7,0,90,0.2,0,100,44,1299.34,5,4,76.34,CYJS12-5-73HB,120,38.2,29.2,YCCH280-8,30,2.56,86.04,3.58,50.06,24.83,12.43,游动凡尔漏失,1199.34,31.83,11.93,2.61,1.4,1,12.86,20.71,不达标
Test_273,低渗透,砂岩,水平井,,24,23,2.62,20.38,0,88.6086956522,0.2,0,1384.92,44,1494.92,4,4,76.62,CYJS12-5-73HB,120,70.1,26.1,YCCH280-8,30,1.18,163.22,6.8,65.52,81.15,53.17,游动凡尔漏失,110,58.42,22.67,0.51,1.4,1,12.86,20.71,优良
Test_274,低渗透,砂岩,水平井,,24,7.4,0.67,6.73,0,90.9459459459,0.2,0,1444.6,44,1454.67,5,4,19.01,CYJS12-5-73HB,120,73.3,35,YCCH280-8,30,0.68,158.13,6.59,65.69,28.1,18.46,供液不足游动凡尔漏失,10.07,61.08,21.97,1.48,1.4,1,12.86,20.71,达标
Test_275,低渗透,砂岩,直井,,24,13,0.66,12.34,0,94.9230769231,0.2,0,1500,38,2103.36,5,4,44.4,YCYJ12-5-73HB,120,47.7,28.5,CYQT250M-8,30,0.22,182.41,7.6,36.86,79.03,29.13,气体影响游动凡尔漏失,603.36,39.75,25.33,0.94,1.4,1.05,12.24,19.73,优良
Test_276,低渗透,砂岩,定向井,1800,24,17,0.15,16.85,0,99.1176470588,0.2,0,290.03,38,2198.79,5,3,69.5,YCYJ12-5-73HB,120,65.7,46,YCCH280-8,30,0.83,97.11,4.05,65.59,22.53,14.78,泵工作基本正常,1908.76,54.75,13.5,1.97,1.4,1.05,12.24,19.73,达标
Test_277,低渗透,砂岩,定向井,685,24,11,0,11,0,100,0.2,0,2045.73,38,2101.74,4,4,49.47,YCYJ12-5-73HB,120,55.7,36,YCCH280-8,30,1.54,212.9,8.87,37.43,77.65,29.06,功液不足游动凡尔漏失,56.01,46.42,29.57,0.95,1.4,1.05,12.24,19.73,优良
Test_278,低渗透,砂岩,直井,175,24,11,6.85,4.15,0,37.7272727273,0.2,0,2242.09,38,2252.09,5,4,38.82,YCYJ12-5-73HB,120,46,28.1,YCCH280-8,30,1.3,256.95,10.71,29.78,82.27,24.5,功液不足游动凡尔漏失,10,38.33,35.7,1.04,1.4,1.05,12.24,19.73,优良
Test_279,低渗透,砂岩,定向井,,24,18,2.21,15.79,0,87.7222222222,0.2,0,1686.52,38,2297.41,5,4,78.74,CYJS12-5-73HB,120,55,36.8,YCCH280-8,30,2.97,211.58,8.82,38.48,100.74,38.76,固定凡尔漏失游动凡尔漏失,610.89,45.83,29.4,0.7,1.4,1.05,12.24,19.73,优良
Test_280,高渗透,砂岩,直井,,24,19,2.53,16.47,0,86.6842105263,0.2,0,600,38,1800.4,3,4,107.48,YCYJ12-5-73HB,120,49.5,45,YCY250M-8,30,4.16,85.79,3.57,18.33,201.2,36.87,固定凡尔漏失,1200.4,41.25,11.9,0.75,1,1.05,17.14,27.62,优良
Test_281,高渗透,砂岩,定向井,285,24,29,2.48,26.52,0,91.4482758621,0.2,0,700,38,1996.26,5,4,98.13,YCYJ12-5-73HB,120,54.3,43.9,YCCH280-8,30,0.7,146.11,6.09,37.69,102.21,38.53,游动凡尔漏失泵下碰,1296.26,45.25,20.3,0.72,1,1.05,17.14,27.62,优良
Test_282,高渗透,砂岩,定向井,275,24,15,0.51,14.49,0,96.6,0.2,0,1000,38,1797.43,3,4,79.72,YCYJ12-5-73HB,120,42.1,33.1,YCCH280-8,30,4.45,119.85,4.99,28.51,121.36,34.59,固定凡尔漏失游动凡尔漏失,797.43,35.08,16.63,0.8,1,1.05,17.14,27.62,优良
Test_283,高渗透,砂岩,水平井,,24,39,5.03,33.97,0,87.1025641026,0.2,0,600,44,1596.28,5,4,94.76,CYJS12-5-73HB,120,44.8,36,YCCH280-8,30,0.92,119.43,4.98,43.03,126.61,54.48,游动凡尔漏失泵下碰,996.28,37.33,16.6,0.51,1,1.05,17.14,27.62,优良
Test_284,高渗透,砂岩,直井,,24,22,1.62,20.38,0,92.6363636364,0.2,0,600,38,1796.37,4,4,88.18,YCYJ12-5-73HB,120,47.5,41.6,YCCH280-8,30,1.98,107.39,4.47,26.87,127.77,34.33,游动凡尔漏失,1196.37,39.58,14.9,0.81,1,1.05,17.14,27.62,优良
Test_285,高渗透,砂岩,定向井,858,24,23,2.51,20.49,0,89.0869565217,0.2,0,600,38,1801.84,4,3,119.71,YCYJ12-5-73HB,120,46,38.8,YCCH280-8,30,1.66,80.03,3.33,31.67,151.11,47.85,游动凡尔漏失,1201.84,38.33,11.1,0.58,1,1.05,17.14,27.62,优良
Test_286,低渗透,砂岩,定向井,2225,24,12,11.45,0.55,0,4.5833333333,0.2,0,1850,38,2097.47,4,4,52.23,CYJS12-5-73HB,120,44.8,29.8,YCCH280-8,30,2.38,200.38,8.35,28.31,93.3,26.41,固定凡尔漏失游动凡尔漏失,247.47,37.33,27.83,0.9,1.4,1.05,12.24,19.73,优良
Test_287,低渗透,砂岩,直井,,24,22,4.62,17.38,0,79,0.1,0,300,38,1595.45,4,4,84.53,CYJS12-5-73HB,120,53.1,42.7,YCY280S-8,37,1.07,184.16,7.67,18.23,53.99,9.84,气体影响游动凡尔漏失,1295.45,44.25,20.73,2.79,1.4,1.05,12.24,19.73,不达标
Test_288,低渗透,砂岩,直井,,24,24,0.42,23.58,0,98,0.1,0,300,38,1801.31,3,5.5,90.31,CYJ10-3-37B,100,74,53.3,YCY280M-8,45,0.57,126.17,5.26,61.84,25.91,16.03,固定凡尔漏失游动凡尔漏失,1501.31,74,11.69,1.75,1.4,1.05,12.24,19.73,达标
Test_289,低渗透,砂岩,直井,,24,30,7.37,22.63,0,75,0.2,0,362.56,44,1804.88,3,6,79.21,CYJ10-3-37B,100,68.7,37.5,YCCH280-8,30,0.48,115.65,4.82,75.88,34.54,26.21,游动凡尔漏失,1442.32,68.7,16.07,1.06,1.4,1.05,12.24,19.73,优良
Test_290,低渗透,砂岩,直井,,24,20,5.81,14.19,0,71,0.4,0,743.81,38,1697.72,5,3,88.22,CYJS12-5-73HB,120,68.2,33.9,CYQT250M-8,30,0.88,159.64,6.65,73.53,34.95,25.7,泵工作基本正常,953.91,56.83,22.17,1.07,1.4,1.05,12.24,19.73,优良
Test_291,低渗透,砂岩,直井,,24,42,2.99,39.01,0,93,0.1,0,300,56,1002.21,2.6,5,95.31,CYJ10-3-37B,100,43.6,32.7,YCCH280-8,30,3.93,97.1,4.05,46.8,77.32,36.19,游动凡尔漏失,702.21,43.6,13.5,0.77,1.4,1,12.86,20.71,优良
Test_292,低渗透,砂岩,定向井,600,24,18,5.96,12.04,0,67,0.5,0,1200,44,1605.66,3,3,89.28,CYJS12-5-73HB,120,76.4,20.5,YCCH280-8,30,1.17,131.64,5.49,76.5,58.35,44.64,固定凡尔漏失,405.66,63.67,18.3,0.61,1.4,1.05,12.24,19.73,优良
Test_293,低渗透,砂岩,定向井,325,24,32,7.49,24.51,0,77,0.5,0,841.34,44,1200.43,5,3.5,87.12,CYJS12-5-73HB,120,52.3,24.9,YCCH280-8,30,0.73,186.05,7.75,74.44,36.11,26.88,泵工作基本正常,359.09,43.58,25.83,0.69,1.4,1,12.86,20.71,优良
Test_294,低渗透,砂岩,定向井,975,24,21,0.55,20.45,0,97,0.5,0,300,44,1203.84,4,4,61.46,CYJS12-5-73HB,120,49.4,31.7,CYQT250M-8,30,7.66,82.34,3.43,70.61,34.4,24.29,泵工作基本正常,903.84,41.17,11.43,1.31,1.4,1,12.86,20.71,优良
Test_295,低渗透,砂岩,直井,,24,15,9.27,5.73,0,38,0.3,0,1769.73,38,1800.79,5,2.5,77.12,YCYJ12-5-48HB,120,83.8,31,YCY250S-8,30,1.17,281.74,11.74,79.14,24.05,19.03,泵工作基本正常,31.06,69.83,39.13,1.06,1.4,1.05,12.24,19.73,达标
Test_296,低渗透,砂岩,定向井,1150,24,6.5,5.62,0.88,0,14,0.3,0,1782.62,38,1801.28,2.7,3.5,48.04,YCYJ14-5-73HB,140,85.7,39.2,YCCH280-8,30,2.04,151.56,6.32,74.86,25.1,18.79,供液不足,18.66,61.21,21.07,1.31,1.4,1.05,12.24,19.73,达标
Test_297,低渗透,砂岩,直井,,12,1.2,0.65,0.55,0,46,0.3,0,1789.57,38,1803.2,2.8,4,7.15,CYJS12-5-73HB,120,81.8,40,YCCH280-8,30,3.09,331.93,13.83,29.99,5.53,1.66,供液不足游动凡尔漏失,13.63,68.17,46.1,15.46,1.4,1.05,12.24,19.73,不达标
Test_298,低渗透,砂岩,定向井,900,24,13,10.83,2.17,0,17,0.3,0,1745.41,38,1803.52,4,4,55.9,CYJS12-5-73HB,120,81.6,37.3,YCCH280-8,30,0.59,231.84,9.66,66.17,36.86,24.39,泵工作基本正常,58.11,68,32.2,1.02,1.4,1.05,12.24,19.73,优良
Test_299,低渗透,砂岩,直井,,24,1.2,0.65,0.55,0,46,0.3,0,1798.5,38,1805.76,4.8,3.5,4.78,CYJY12-5.5-73HB,120,89.8,44.6,YCH280-8,33,0.81,210.54,8.77,61.28,4.29,2.63,固定凡尔漏失泵下碰,7.26,74.83,26.58,9.76,1.4,1.05,12.24,19.73,不达标
Test_300,低渗透,砂岩,水平井,,24,20,1.44,18.56,0,93,0.3,0,1050,44,1550.18,3,4,78.8,CYJS12-5-73HB,120,54.8,35.1,YCCH280-8,30,2.65,65.68,2.74,70.06,126.41,88.57,游动凡尔漏失,500.18,45.67,9.13,0.31,1.4,1.05,12.24,19.73,优良
Test_301,低渗透,砂岩,定向井,1300,24,9,0.87,8.13,0,90,0.3,0,290.05,38,1704.22,4,4,35.08,CYJS12-5-73HB,120,74.2,57.6,YCCH280-8,30,2.64,43.03,1.79,79.88,22.56,18.02,气体影响游动凡尔漏失,1414.17,61.83,5.97,1.65,1.4,1.05,12.24,19.73,达标
Test_302,低渗透,砂岩,直井,,24,25,2.2,22.8,0,91,0.3,0,300,38,1793.38,4.8,4,84.25,CYJ14-4.8-73HB,140,64.3,48.7,YCCH280-8,30,1.51,109.24,4.55,62.86,32.38,20.35,游动凡尔漏失泵下碰,1493.38,45.93,15.17,1.46,1.4,1.05,12.24,19.73,优良
Test_303,低渗透,砂岩,直井,,24,12,2.14,9.86,0,82,0.5,0,100,38,1795.67,5,2,74.51,YCYJ12-5-73HB,120,78.9,25.6,YCH280-12,30,0.82,90.58,3.77,79.85,6.7,5.35,泵工作基本正常,1695.67,65.75,12.57,7.55,1.4,1.05,12.24,19.73,不达标
Test_304,低渗透,砂岩,直井,,24,32,5.36,26.64,0,83,0.2,0,1000,44,1588.6,5,4,75.49,CYJS12-5-73HB,120,65.7,52.6,YCCH280-8,30,0.15,122.19,5.09,48.83,145.73,71.16,气体影响游动凡尔漏失,588.6,54.75,16.97,0.38,1.4,1.05,12.24,19.73,优良
Test_305,低渗透,砂岩,直井,,24,18,2.81,15.19,0,84,0.2,0,1599.48,32,1647.68,5,4,84.18,CYJS12-5-73HB,120,72.5,39.5,YCCH280-8,30,0.28,204.91,8.54,66.15,57.35,37.94,泵工作基本正常,48.2,60.42,28.47,0.71,1.4,1.05,12.24,19.73,优良
Test_306,低渗透,砂岩,直井,,24,15,1.77,13.23,0,88,0.2,0,300,38,1696.86,3,3.5,86.42,CYJS12-5-73HB,120,57,39.2,YCCH280-8,30,0.09,109.02,4.54,53.96,21.91,11.82,游动凡尔漏失,1396.86,47.5,15.13,2.42,1.4,1.05,12.24,19.73,不达标
Test_307,低渗透,砂岩,直井,,24,11,1.49,9.51,0,86,0.5,0,2133.46,32,2302.02,4,4,66.95,CYJS12-5-73HB,120,89.3,52.8,YCCH280-8,30,1.09,159.36,6.64,69.35,58.24,40.39,泵工作基本正常,168.56,74.42,22.13,0.68,1.4,1.05,12.24,19.73,优良
Test_308,低渗透,砂岩,定向井,2275,24,13,3.08,9.92,0,76,0.5,0,2133.6,38,2199.04,4,4,56.56,CYJS12-5-73HB,120,96.6,40.2,YCCH280-8,30,0.91,259.36,10.81,76.81,37.51,28.81,供液不足游动凡儿漏失,65.44,80.5,36.03,0.94,1.4,1.05,12.24,19.73,优良
Test_309,低渗透,砂岩,直井,,24,51,2.9,48.1,0,94.3,0.5,0,596,56,1203.06,3,5,102.86,YCYJ12-5-73HB,120,53.8,25.3,Y250M-8,30,5.4,172.64,7.19,66.15,78.04,51.62,泵工作基本正常,607.06,44.83,23.97,0.57,1.4,1,12.86,20.71,优良
Test_310,低渗透,砂岩,直井,,24,8.6,2.7,5.9,0,68.3,0.5,0,1693,38,1751.44,4,3,49.39,YCYJ12-5-73HB,120,77.7,26.3,Y280S-8,55,1.33,258.81,10.78,78.9,19.2,15.14,供液不足,58.44,64.75,19.6,1.78,1.4,1.05,12.24,19.73,达标
Test_311,低渗透,砂岩,定向井,750,24,6,0.66,5.34,0,89,0.5,0,1679,38,1750.17,5,4,20.07,YCYJ12-5-73HB,120,71.6,22.7,Y250M-8,30,2.36,247.44,10.31,77.93,14.45,11.26,供液不足,71.17,59.67,34.37,2.46,1.4,1.05,12.24,19.73,不达标
Test_312,低渗透,砂岩,定向井,625,24,27,1.67,25.3,0,93.8,0.5,0,500,44,1796.72,5,4,68.6,YCYJ12-5-73HB,120,81,37.5,YCH280-8,45,0.97,584.6,24.36,41.42,16.59,6.87,供液不足游动凡尔漏失,1296.72,67.5,54.13,4.33,1.4,1.05,12.24,19.73,不达标
Test_313,低渗透,砂岩,定向井,825,24,15,1.4,13.6,0,90.6,0.5,0,1608,38,1699.43,4,4,62.62,CYJS12-5-73HB,120,65.7,34.1,YCCH280-8,45,0.69,76.34,3.18,79.2,110.61,87.6,游动凡尔漏失,91.43,54.75,7.07,0.32,1.4,1.05,12.24,19.73,优良
Test_314,低渗透,砂岩,定向井,1250,24,19,11.8,7.22,0,38,0.35,0,260,38,1901.6,5,3,87.92,CYJS12-5-73HB,120,55.5,34.8,YCCH280-8,45,0.9,204.23,8.51,43.91,15.75,6.92,泵工作基本正常,1641.6,46.25,18.91,4.13,1.4,1.05,12.24,19.73,不达标
Test_315,低渗透,砂岩,定向井,1750,24,10,2.25,7.75,0,77.5,0.35,0,494,32,1498.08,5,4,45.33,CYJS12-5-73HB,120,49,29.2,YCCH280-8,30,1.04,150.96,6.29,65.08,14.25,9.27,气体影响游动凡尔漏失,1004.08,40.83,20.97,3.06,1.4,1,12.86,20.71,不达标
Test_316,低渗透,砂岩,直井,,24,22,4,18,0,81.9,0.3,0,100,44,1000.08,4.8,3,66,CYJ14-4.8-53HB,140,33.9,22.4,YCCH280-8,30,0.57,7.47,0.31,77.4,132.82,102.8,游动凡尔漏失,900.08,24.21,1.03,0.34,1.4,1,12.86,20.71,优良
Test_317,低渗透,砂岩,直井,,24,5,1.47,3.53,0,70.6,0.5,0,758,44,1103.58,4,4,14.76,YCYJ14-5-53HB,140,63.5,32.6,YCCH280-8,30,0.54,168.44,7.02,79.47,7.88,6.26,气体影响游动凡尔漏失,345.58,45.36,23.4,4.44,1.4,1,12.86,20.71,不达标
Test_318,低渗透,砂岩,直井,,24,29,0.6,28.39,0,97.9,0.5,0,100,56,1252.9,4.8,3,55.1,CYJ14-4.8-73HB,140,43.3,32.9,YCCH280-8,30,1.39,85.03,3.54,52.22,26.8,14,凡尔失灵或杆在泵口断脱,1152.9,30.93,11.8,2.93,1.4,1,12.86,20.71,达标
Test_319,低渗透,砂岩,直井,,24,11,2.7,8.3,0,75.6,0.5,0,100,32,802.61,3,4,47.15,YCYJ12-5-73HB,120,26.4,15.1,YCY280S-8,37,2.43,80.04,3.33,75.02,7.37,5.53,气体影响,702.61,22,9,7.28,1.4,1,12.86,20.71,不达标
Test_320,低渗透,砂岩,定向井,425,24,2.1,1.15,0.95,0,46,0.25,0,2055,38,2203.68,4,1,34.47,CYJS12-5-73HB,12,83.6,51.8,YCCH280-8,11,1.79,91.99,3.83,31.65,35.62,11.27,游动凡尔漏失泵下碰,148.68,696.67,34.82,2.13,1.4,1.05,12.24,19.73,不达标
Test_321,低渗透,砂岩,定向井,800,24,9,6.86,2.14,0,67.9,0.25,0.4,2294,38,2841,5,4,24.02,CYJS12-5-73HB,12,91.6,48,YCCH280-8,30,1.08,195.07,8.13,64.86,13.12,8.51,气体影响,547,763.33,27.1,0.94,1.4,1.1,11.69,18.83,不达标
Test_322,低渗透,砂岩,直井,,24,4.1,2.69,1.41,63.36,48,0.3,0,2130,38,2297.81,4.8,4,10.31,CYJ14-4.8-73HB,14,51,43.1,YCCH280-8,30,0.8,235.34,9.81,5.36,102.68,5.5,气锁或严重液击,167.81,364.29,32.7,2.69,1.4,1.05,12.24,19.73,不达标
Test_323,低渗透,砂岩,直井,,24,10,0.76,9.24,113.85,68.6,0.25,0,2288,38,2304.66,4.8,3.5,36.79,CYJ14-4.8-73HB,14,95.8,53.2,CY280M-8,37,0.77,111.77,4.66,77.6,36.06,27.99,固定凡尔漏失游动凡尔漏失,16.66,684.29,12.59,0.49,1.4,1.05,12.24,19.73,优良
Test_324,低渗透,砂岩,直井,,24,6.8,3.22,3.58,91.08,47,0.25,0,1990,38,2000.51,2.8,4,43.37,CYJ14-4.8-73HB,14,55.1,37.7,YCYJ280M-8B,37,2,182.74,7.61,15.39,125.78,19.36,"抽油杆断脱,位置距井口m:1985.00",10.51,393.57,20.57,1.35,1.4,1.05,12.24,19.73,达标
Test_325,低渗透,砂岩,直井,,24,20,0.63,19.37,137.94,76.8,0.3,0,2266,38,2296.4,4.8,3,16.44,CYJ14-4.8-73HB,14,88.5,51,YCCH280-8,30,0.83,123.48,5.14,64.47,25.6,16.5,固定凡尔漏失泵下碰,30.4,632.14,17.13,0.27,1.4,1.05,12.24,19.73,达标
Test_326,低渗透,砂岩,直井,,24,6,2.73,3.27,39.6,43,0.25,0,2140,38,2195,5,3.5,22.72,CYJS12-5-73HB,12,49.7,43.1,YCCH280-8,30,0.33,128.08,5.34,17.56,147.02,25.81,"抽油杆断脱,位置距井口m:2195.00",55,414.17,17.8,1,1.4,1.05,12.24,19.73,优良
Test_327,低渗透,砂岩,定向井,750,24,5.3,3.8,1.5,34.98,44,0.25,0,2209,38,2300.37,5,3,5.42,CYJS12-5-73HB,12,54.6,42.6,YCCH280-8,30,0.68,207.89,8.66,10.58,31.05,3.28,"抽油杆断脱,位置距井口m:2247.00",91.37,455,28.87,1.78,1.4,1.05,12.24,19.73,不达标
Test_328,低渗透,砂岩,定向井,1500,24,3,1.46,1.54,34.32,48,0.25,0,2271,38,2303.4,5,3,9.85,CYJS12-5-73HB,12,74.3,47.3,YCCH280-8,30,0.75,168.09,7,43.88,16.18,7.1,固定凡尔漏失游动凡尔漏失,32.4,619.17,23.33,2.47,1.4,1.05,12.24,19.73,不达标
Test_329,低渗透,砂岩,直井,,24,3.9,1.58,2.32,77.55,41.2,0.25,0.26,2190,38,2300.07,3.8,3,25.27,CYJ14-4.8-73HB,14,95.2,45.4,YCCH280-8,30,1.18,165.01,6.88,70.65,19.27,13.62,泵工作基本正常,110.07,680,22.93,1.93,1.4,1.05,12.24,19.73,达标
Test_330,低渗透,砂岩,直井,,24,3.2,0.95,2.25,22.44,64,0.25,0,2258,38,2296.4,4.8,3.5,14.55,CYJ14-4.8-73HB,14,94.1,52.6,CYQT250M-8,37,0.82,285.35,11.89,61.62,12.58,7.75,游动凡尔漏失泵下碰,38.4,672.14,32.14,3.95,1.4,1.05,12.24,19.73,不达标
Test_331,低渗透,砂岩,定向井,530,24,2.7,0.52,2.18,58.08,64.8,0.25,1,1800,32,2199.11,4,3,17.92,CYJS12-5-73HB,12,67.3,51.3,YCCH280-8,30,0.58,165.54,6.9,14.13,54.6,7.71,气锁或严重液击,399.11,560.83,23,3.41,1.4,1.05,12.24,19.73,不达标
Test_332,低渗透,砂岩,直井,,24,4,1.74,2.26,21.79,79.5,0.25,0,2137,38,2198.12,3,3,35.43,YCYJ12-5-73HB,12,93.1,54.8,YCCH280-8,30,0.73,166.55,6.94,33.51,37.5,12.57,固定凡尔漏失泵下碰,61.12,775.83,23.13,1.95,1.4,1.05,12.24,19.73,达标
