0.028377,0.026845,0.025130,0.022823,0.023941,0.026845,0.025130,0.022823,0.023941,0.024682
0.025130,0.022823,0.023941,0.024682,0.024565,0.022823,0.023941,0.024682,0.024565,0.022586
0.023941,0.024682,0.024565,0.022586,0.024405,0.024682,0.024565,0.022586,0.024405,0.028275
0.024565,0.022586,0.024405,0.028275,0.044366,0.022586,0.024405,0.028275,0.044366,0.044933
0.024405,0.028275,0.044366,0.044933,0.026263,0.028275,0.044366,0.044933,0.026263,0.025581
0.044366,0.044933,0.026263,0.025581,0.028085,0.044933,0.026263,0.025581,0.028085,0.031687
0.026263,0.025581,0.028085,0.031687,0.038272,0.025581,0.028085,0.031687,0.038272,0.027139
0.028085,0.031687,0.038272,0.027139,0.026275,0.031687,0.038272,0.027139,0.026275,0.024777
0.025297,0.017173,0.018668,0.016136,0.018381,0.017173,0.018668,0.016136,0.018381,0.017948
0.018668,0.016136,0.018381,0.017948,0.016074,0.016136,0.018381,0.017948,0.016074,0.031816
0.018381,0.017948,0.016074,0.031816,0.037217,0.017948,0.016074,0.031816,0.037217,0.032355
0.016074,0.031816,0.037217,0.032355,0.034006,0.031816,0.037217,0.032355,0.034006,0.038072
0.037217,0.032355,0.034006,0.038072,0.035468,0.032355,0.034006,0.038072,0.035468,0.028589
0.034006,0.038072,0.035468,0.028589,0.027742,0.038072,0.035468,0.028589,0.027742,0.028889
0.035468,0.028589,0.027742,0.028889,0.027518,0.028589,0.027742,0.028889,0.027518,0.025600
0.027742,0.028889,0.027518,0.025600,0.034808,0.028889,0.027518,0.025600,0.034808,0.027930
0.027518,0.025600,0.034808,0.027930,0.024022,0.025600,0.034808,0.027930,0.024022,0.022796
0.034808,0.027930,0.024022,0.022796,0.014161,0.027930,0.024022,0.022796,0.014161,0.019072
0.024022,0.022796,0.014161,0.019072,0.023604,0.022796,0.014161,0.019072,0.023604,0.028086
0.014161,0.019072,0.023604,0.028086,0.034716,0.019072,0.023604,0.028086,0.034716,0.023647
0.023604,0.028086,0.034716,0.023647,0.026376,0.028086,0.034716,0.023647,0.026376,0.024125
0.034716,0.023647,0.026376,0.024125,0.019530,0.020023,0.032201,0.035329,0.025297,0.017173
