井号 渗透性类型 岩性 井型 造斜点深度(m) 生产时间(h) 日产液(t) 日产油(t) 日产水(t) 日产气(m3) 含水率(%) 油压(Mpa) 套压(Mpa) 动液面(m) 泵径(mm) 泵深(m) 冲程(m) 冲次(n/min) 泵效(%) 抽油机机型 额定载荷(kN) 悬点载荷最大值(kN) 悬点载荷最小值(kN) 电机型号 电机额定功率(kW) 平衡度 日耗电量(kW·h) 输入功率(kW) 地面效率(%) 井下效率(%) 系统效率(%) 泵况分析结果 沉没度(m) 抽油机负载率(%) 电机功率利用率(%) 百米吨液耗电(kW.h) K1 K2 节能限定值 节能评价值 对标结果
Test_001 1,0,0,0 0,1 1,0,0 1.1245850147078032E-5 1.0 0.19494086160752827 0.14948453608247422 0.17662473794549266 0.0 0.88567674113 0.33333333333333337 0.0 0.48366413297657557 0.23529411764705882 0.5584296639946588 0.5588235294117647 0.6 0.41285714285714287 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0.7297297297297297 0.3489037178265014 0.28878504672897193 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0.4318181818181818 0.6853207059836418 0.22237471287615027 0.14346463742166518 0.33792448349560666 2.0764691313627083E-4 0.039824402004264015 1,0,0,0,0,0,0,0,0,0,0,0 0.35240873389754496 0.04046005067455527 0.14395007046506944 0.008579169175195665 1.0 0.5 0.0 0.0 1,0,0
Test_002 0,1,0,0 0,1 1,0,0 1.1245850147078032E-5 1.0 0.27410860744194077 0.0572737686139748 0.2707896575821104 0.0 0.96875 0.4166666666666667 0.0 0.6434064154275546 0.23529411764705882 0.5129185087542851 0.8529411764705882 0.6 0.41965714285714284 0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0.7297297297297297 0.36320305052430885 0.26355140186915893 0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0.4318181818181818 0.6693930262591476 0.3693243379899163 0.23836168307967773 0.31265732605081925 2.6254594301554753E-4 0.04649028903502066 1,0,0,0,0,0,0,0,0,0,0,0 0.16054111654659683 0.04211824947269278 0.23877592107912216 0.007676098735701385 0.0 0.5 0.8820301783264747 0.8824531516183987 1,0,0
Test_003 1,0,0,0 0,1 1,0,0 1.1245850147078032E-5 1.0 0.23957523957523957 0.1145475372279496 0.22711390635918938 0.0 0.9285714285710001 0.4166666666666667 0.0 0.4801143044776649 0.23529411764705882 0.2969181321338543 0.7941176470588235 0.4 0.5173142857142857 0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0.8648648648648649 0.18207816968541468 0.15607476635514023 0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0.4318181818181818 0.6642272922944469 0.30061686482425853 0.19404655326768128 0.27418665400142483 2.4258571939910913E-4 0.03763842285652601 1,0,0,0,0,0,0,0,0,0,0,0 0.10429823947863222 0.013928869904355093 0.19448359170525467 0.00963275135460566 1.0 0.0 0.07407407407407396 0.07410562180579196 1,0,0
Test_004 1,0,0,0 0,1 1,0,0 1.1245850147078032E-5 1.0 0.11007511007511007 0.03665521191294387 0.10796645702306079 0.0 0.950769230769 0.4166666666666667 0.0 0.07720876985130655 0.11764705882352941 0.5144164309222492 0.5588235294117647 0.4 0.39039999999999997 0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0.7297297297297297 0.3527168732125834 0.405607476635514 0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0.4318181818181818 0.6805854498493328 0.12876150301209172 0.08303491495076097 0.27998100213725957 5.6380058275774626E-5 0.009103748549427417 1,0,0,0,0,0,0,0,0,0,0,0 0.6869695087079772 0.04089781515726357 0.08355143950070464 0.04711017459361831 1.0 0.5 0.0 0.0 0,1,0
Test_005 1,0,0,0 0,1 0,1,0 0.07096774193548387 1.0 0.30864197530864196 0.7394043528064146 0.20169461914744932 0.0 0.641388888889 0.5 0.0 0.6877792716639377 0.23529411764705882 0.5340392113225796 0.8529411764705882 0.8 0.3824 0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0.7297297297297297 0.3603431839847474 0.3542056074766355 0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0.4318181818181818 0.6655187257856221 0.23638780138975166 0.15241718889883615 0.31579197340299214 4.6514389570921166E-4 0.08296825382546352 1,0,0,0,0,0,0,0,0,0,0,0 0.13970204029573796 0.041786609713065276 0.15287564592980335 0.0039133052378085495 1.0 0.5 0.0 0.0 1,0,0
Test_006 1,0,0,0 0,1 1,0,0 1.1245850147078032E-5 1.0 0.265993265993266 0.06357388316151202 0.26161774982529695 0.0 0.9642627173210001 0.4166666666666667 0.0 0.5888278022568034 0.47058823529411764 0.46893523412523486 0.49999999999999994 0.6 0.3818285714285714 0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0.8648648648648649 0.48331744518589126 0.21401869158878503 0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0.4318181818181818 0.6573396470081792 0.30646769044076216 0.19762757385854968 0.31450961766801233 2.80318283773523E-4 0.04990869264053688 1,0,0,0,0,0,0,0,0,0,0,0 0.16886440406001982 0.043869307403525994 0.19804039997315612 0.007074051776038531 1.0 0.5 0.0 0.0 1,0,0
Test_007 1,0,0,0 0,1 1,0,0 1.1245850147078032E-5 1.0 0.41794008460675125 0.3018327605956472 0.37901816911250874 0.0 0.8916974928070001 0.4166666666666667 0.0 0.4295292483681882 0.47058823529411764 0.4501213316956051 0.7941176470588235 0.6 0.4282285714285714 0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0.8648648648648649 0.42993326978074353 0.2598130841121496 0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0.4318181818181818 0.6814464055101163 0.3195128645931148 0.20613249776186215 0.2944193778199952 3.3343334762974536E-4 0.05549508379586734 1,0,0,0,0,0,0,0,0,0,0,0 0.2984822240416699 0.03856307124948596 0.20656331789812762 0.006321493076459964 1.0 0.5 0.0 0.0 1,0,0
Test_008 1,0,0,0 0,1 1,0,0 1.1245850147078032E-5 1.0 0.16429249762583098 0.18327605956471937 0.14046121593291402 0.0 0.834024896266 0.33333333333333337 0.0 0.7277148422766825 0.23529411764705882 0.511942719456297 0.5588235294117647 0.6 0.3463428571428571 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0.7297297297297297 0.5910390848427074 0.3542056074766355 0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0.4318181818181818 0.6874730951356005 0.3447653168836046 0.22247090420769922 0.3692234623604844 1.5530602321458156E-4 0.03268173762852749 0,1,0,0,0,0,0,0,0,0,0,0 0.08143079904382995 0.06854330551981216 0.22287094825850612 0.010686333534015654 1.0 0.5 0.0 0.0 1,0,0
Test_009 1,0,0,0 0,1 1,0,0 1.1245850147078032E-5 1.0 0.09134075800742468 0.06471935853379152 0.0847309573724668 0.0 0.895660203139 0.33333333333333337 0.0 0.6695864006070207 0.23529411764705882 0.466470082214528 0.8529411764705882 0.4 0.20434285714285713 0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0.7297297297297297 0.35081029551954246 0.2355140186915888 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0.4318181818181818 0.6676711149375808 0.2755233238468095 0.17770814682184424 0.3090952267869864 1.2056917536944759E-4 0.021257072946933783 0,1,0,0,0,0,0,0,0,0,0,0 0.0916137632532822 0.040685565711101976 0.17817596134487618 0.016857314870559904 1.0 0.5 0.0 0.0 1,0,0
Test_010 0,0,1,0 0,1 1,0,0 1.1245850147078032E-5 1.0 0.11931278597945265 0.058419243986254296 0.1139937106918239 0.0 0.92750533049 0.33333333333333337 0.0 0.490320061412033 0.23529411764705882 0.45274911515597643 0.2647058823529412 0.6 0.3454857142857143 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0.7297297297297297 0.40038131553860823 0.27383177570093464 0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0.4318181818181818 0.7503228583727939 0.22574074341601535 0.14570277529095793 0.3288530040370458 1.3504286197158673E-4 0.02531417827874383 1,0,0,0,0,0,0,0,0,0,0,0 0.2446421150942387 0.04642956634785031 0.14616468693376283 0.014298615291992776 0.6666666666666664 0.5 0.20987654320987648 0.2103918228279386 1,0,0
